timestamp,quote_timestamp,instrument_name,expiry,strike,option_type,bid,ask,mark,bid_btc,ask_btc,mark_btc,underlying,bid_size,ask_size,volume,volume_usd,open_interest,mark_iv,bid_iv,ask_iv,delta,gamma,vega,theta,rho,index_price,state
2026-04-28 21:29:00+00:00,2026-04-28 21:29:55.775000+00:00,BTC-29APR26-76500-C,2026-04-29 08:00:00+00:00,76500.0,C,198.371316,244.149312,221.260314,0.0026,0.0032,0.0029,76296.66,21.2,1.3,25.4,12105.42,16.4,29.96,27.36,31.85,0.40076,0.00049,10.21024,-152.96682,0.3638,76296.66,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:55.775000+00:00,BTC-29APR26-76500-P,2026-04-29 08:00:00+00:00,76500.0,P,381.4833,495.92829,427.261296,0.005,0.0065,0.0056,76296.66,28.0,17.1,27.5,14912.58,194.6,29.96,25.36,36.56,-0.59924,0.00049,10.21024,-152.96682,-0.55315,76296.66,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:55.775000+00:00,BTC-29APR26-76000-C,2026-04-29 08:00:00+00:00,76000.0,C,457.77996,572.22495,526.446954,0.006,0.0075,0.0069,76296.66,37.3,36.1,9.4,5245.08,25.2,34.51,27.12,38.68,0.63007,0.00041,9.97281,-172.08283,0.56985,76296.66,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:55.775000+00:00,BTC-29APR26-76000-P,2026-04-29 08:00:00+00:00,76000.0,P,221.260314,259.408644,236.519646,0.0029,0.0034,0.0031,76296.66,24.1,3.1,50.7,14809.9,135.6,34.51,33.25,37.07,-0.36993,0.00041,9.97281,-172.08283,-0.34111,76296.66,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:55.775000+00:00,BTC-29APR26-77000-C,2026-04-29 08:00:00+00:00,77000.0,C,61.037328,91.555992,76.29666,0.0008,0.0012,0.001,76296.66,25.7,10.7,88.9,27492.35,89.3,28.93,26.88,31.26,0.18109,0.00034,6.95759,-74.18343,0.16471,76296.66,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:55.775000+00:00,BTC-29APR26-77000-P,2026-04-29 08:00:00+00:00,77000.0,P,686.66994,915.55992,778.2259320000001,0.009,0.012,0.0102,76296.66,0.4,1.5,23.3,15779.63,78.2,28.93,0.0,45.8,-0.81891,0.00034,6.95759,-100.63577,-0.75823,76296.66,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:57.788000+00:00,BTC-29APR26-75500-C,2026-04-29 08:00:00+00:00,75500.0,C,801.11682,1030.00734,930.821448,0.0105,0.0135,0.0122,76296.84,1.4,0.6,9.2,7681.7,9.2,39.67,15.75,51.58,0.77974,0.00028,7.82665,-155.23975,0.70193,76296.84,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:58.333000+00:00,BTC-29APR26-75500-P,2026-04-29 08:00:00+00:00,75500.0,P,129.704628,152.59368,137.33431199999998,0.0017,0.002,0.0018,76296.84,20.0,30.2,409.1,79390.78,394.9,39.67,39.2,42.09,-0.22026,0.00028,7.82665,-134.17641,-0.20303,76296.84,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:57.788000+00:00,BTC-29APR26-77500-C,2026-04-29 08:00:00+00:00,77500.0,C,15.259368,30.518736,22.889052,0.0002,0.0004,0.0003,76296.84,29.9,2.9,182.1,32463.61,176.6,29.89,27.47,32.03,0.06592,0.00016,3.38616,-22.44436,0.06002,76296.84,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:58.796000+00:00,BTC-29APR26-77500-P,2026-04-29 08:00:00+00:00,77500.0,P,1144.46505,1335.209225,1228.3924869999998,0.015,0.0175,0.0161,76297.67,0.6,1.2,1.0,1184.11,43.0,29.89,0.0,50.0,-0.93394,0.00016,3.39152,-50.68469,-0.8688,76297.67,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:58.796000+00:00,BTC-29APR26-75000-C,2026-04-29 08:00:00+00:00,75000.0,C,1144.46505,1945.590585,1373.3580599999998,0.015,0.0255,0.018,76297.67,2.1,0.2,1.0,1999.17,1.0,44.65,0.0,113.47,0.86807,0.00018,5.64516,-126.04144,0.77738,76297.67,open
2026-04-28 21:29:00+00:00,2026-04-28 21:29:58.796000+00:00,BTC-29APR26-75000-P,2026-04-29 08:00:00+00:00,75000.0,P,76.29767,91.55720399999998,76.29767,0.001,0.0012,0.001,76297.67,22.7,41.0,279.2,29905.18,251.8,44.65,44.22,46.86,-0.13193,0.00018,5.64516,-79.31731,-0.1216,76297.67,open
