timestamp,open,high,low,close,volume
2026-02-27 12:00:00+00:00,66107.5,66191.0,65700.0,65903.5,429.84238933
2026-02-27 13:00:00+00:00,65903.0,66335.5,65667.0,66272.0,515.01716866
2026-02-27 14:00:00+00:00,66272.0,66350.0,65706.0,65910.5,452.63350808
2026-02-27 15:00:00+00:00,65910.5,66304.5,65842.5,66113.0,541.82750299
2026-02-27 16:00:00+00:00,66077.0,66116.0,65410.5,65450.0,623.8393423
2026-02-27 17:00:00+00:00,65450.0,65732.5,65086.5,65669.5,716.9846449
2026-02-27 18:00:00+00:00,65683.0,65762.0,65212.0,65290.0,191.62165993
2026-02-27 19:00:00+00:00,65290.0,65449.0,65156.5,65379.0,172.16408084
2026-02-27 20:00:00+00:00,65379.0,65655.5,65379.0,65586.5,140.82357208
2026-02-27 21:00:00+00:00,65571.5,65720.0,65377.5,65520.5,133.75300509
2026-02-27 22:00:00+00:00,65520.5,65648.5,64891.0,65621.0,266.45949777
2026-02-27 23:00:00+00:00,65621.0,65927.0,65529.5,65848.0,264.93475498
2026-02-28 00:00:00+00:00,65838.5,65982.0,65702.0,65914.0,180.01272294
2026-02-28 01:00:00+00:00,65914.0,65963.5,65698.5,65765.0,1539.4788154
2026-02-28 02:00:00+00:00,65765.5,66004.5,65751.0,65956.5,88.78232965
2026-02-28 03:00:00+00:00,65956.0,65962.5,65740.0,65783.0,60.93540024
2026-02-28 04:00:00+00:00,65782.5,65805.0,65486.0,65655.5,109.87716191
2026-02-28 05:00:00+00:00,65655.5,65725.5,65488.5,65596.5,72.77330954
2026-02-28 06:00:00+00:00,65596.5,65596.5,62954.0,63158.0,2525.84129542
2026-02-28 07:00:00+00:00,63154.5,64312.0,62961.0,63782.5,1344.77123691
2026-02-28 08:00:00+00:00,63782.5,63838.5,63374.0,63433.0,406.5710301
2026-02-28 09:00:00+00:00,63433.0,63907.5,63332.5,63640.0,336.76070931
2026-02-28 10:00:00+00:00,63628.0,64027.0,63445.0,63987.5,332.16405467
2026-02-28 11:00:00+00:00,63987.5,64287.0,63788.5,63834.5,340.31019082
2026-02-28 12:00:00+00:00,63835.0,64072.0,63826.5,64015.5,154.26396067
2026-02-28 13:00:00+00:00,64009.5,65217.0,63900.5,65105.0,678.07537628
2026-02-28 14:00:00+00:00,65102.5,65365.5,64259.5,64418.5,845.8085746
2026-02-28 15:00:00+00:00,64419.5,65010.0,64199.5,64839.5,254.46071141
2026-02-28 16:00:00+00:00,64834.0,65197.5,64672.5,65087.5,251.67449756
2026-02-28 17:00:00+00:00,65081.5,65550.0,64827.0,65439.0,276.44773284
2026-02-28 18:00:00+00:00,65429.5,66170.0,65185.5,65913.5,571.36918476
2026-02-28 19:00:00+00:00,65913.0,66686.5,65605.0,66358.0,828.90615139
2026-02-28 20:00:00+00:00,66354.5,67172.0,66203.5,66957.5,901.13775552
2026-02-28 21:00:00+00:00,66957.5,67024.5,66375.0,66705.5,426.19007607
