strategy,period_start,period_end,final_capital,total_pnl,total_return,cagr,worst_month,median_month,trades,sharpe,max_drawdown,win_rate,worst_trade_pnl,stress_to_pnl
alpha_return_target,2021-03-24 00:00:00+00:00,2026-04-28 15:00:00+00:00,89362.4776897604,79362.4776897604,7.93624776897604,0.5363441009158794,-0.26768913702727903,0.014954124064340268,2290.0,2.6563691038424633,-0.3351613152796608,0.8235807860262009,-2927.1286320143927,3.943911789611207
alpha_plus,2021-03-24 00:00:00+00:00,2026-04-28 15:00:00+00:00,75734.48855496947,65734.48855496947,6.573448855496947,0.4873012816771236,-0.22704506676999325,0.012112284931225847,2313.0,2.7845491007382916,-0.2905970952427126,0.8227410289667099,-2439.2738600119937,3.9780340294679646
alpha_vol_breakout_guard,2021-03-24 00:00:00+00:00,2026-04-28 15:00:00+00:00,63504.18092200919,53504.18092200919,5.350418092200919,0.4368176353471651,-0.18694330765624556,0.01257241070398396,2286.0,3.011776256377723,-0.24024855436910963,0.8237095363079615,-1951.419088009595,3.89756657155977
alpha_current,2021-03-24 00:00:00+00:00,2026-04-28 15:00:00+00:00,54119.85629587221,44119.85629587221,4.411985629587221,0.3924697307744536,-0.15743128759533687,0.010977887481444126,2313.0,3.113893376678439,-0.206187786798797,0.8227410289667099,-1626.182573341329,3.9642482083615374
alpha_defensive,2021-03-24 00:00:00+00:00,2026-04-28 15:00:00+00:00,49475.5948253754,39475.5948253754,3.9475594825375406,0.36818857823974893,-0.14393794118878744,0.011934746033948063,2273.0,3.2129829355695816,-0.18784628942015308,0.8262208534975803,-1463.5643160071963,3.967783303908895
alpha_carry_confirmed,2021-03-24 00:00:00+00:00,2026-04-28 15:00:00+00:00,32961.37488528598,22961.37488528598,2.296137488528598,0.2634639369705163,-0.20093291722199602,0.010254812857496187,1510.0,1.7399325873100198,-0.2637614915608458,0.7927152317880795,-2385.090688357052,5.96888893474069
